Warehouse,Product,Stock Level,Reorder Level,Supplier,Last Updated,Transport Cost
WH-C,Keyboard,199.0,222,Supplier-B,2026-03-04,1450
WH-B,SSD,234.0,293,Supplier-X,2025-10-22,6650
WH-C,Router,589.0,158,Supplier-Z,2024-12-18,2000
WH-B,Keyboard,236.0,273,Supplier-B,2024-12-22,1100
WH-A,Keyboard,422.0,100,Supplier-B,2025-03-02,850
WH-E,Keyboard,600.0,199,Supplier-C,2025-06-12,1700
WH-B,Monitor,160.0,114,Supplier-B,2025-11-13,2500
WH-D,SSD,297.0,140,Supplier-Z,2025-01-27,7270
WH-E,Hard Disk,185.0,89,Supplier-Y,2026-01-11,1950
WH-D,Tablet,105.0,172,Supplier-Z,2024-10-19,2470
WH-A,Mobile,149.0,205,Supplier-Z,2025-08-26,1500
WH-E,Hard Disk,318.0,271,Supplier-Z,2025-04-01,2050
WH-E,Laptop,331.0,252,Supplier-X,2025-10-27,2650
WH-C,Mobile,47.0,199,Supplier-A,2024-07-15,2150
WH-D,Monitor,322.0,85,Supplier-Y,2025-06-19,2970
WH-B,Hard Disk,552.0,88,Supplier-B,2025-08-29,1400
WH-D,Hard Disk,424.0,171,Supplier-Y,2024-09-26,1870
WH-C,Tablet,100.0,60,Supplier-Z,2026-06-04,2400
WH-E,Tablet,125.0,90,Supplier-Z,2025-04-04,2550
WH-C,Mouse,510.0,292,Supplier-B,2026-04-12,1300
WH-B,Keyboard,34.0,142,Supplier-Y,2025-09-17,1150
WH-C,Hard Disk,290.0,233,Supplier-Y,2025-06-25,1800
WH-A,Printer,77.0,146,Supplier-A,2025-06-24,2870
WH-B,Hard Disk,321.0,146,Supplier-Y,2024-07-22,1450
WH-D,Mouse,284.0,174,Supplier-Y,2024-12-28,1420
WH-B,Printer,302.0,53,Supplier-Z,2025-05-27,3070
WH-B,Printer,222.0,57,Supplier-A,2024-09-25,3120
WH-E,Mobile,356.0,131,Supplier-Y,2026-05-27,2150
WH-D,Hard Disk,523.0,119,Supplier-A,2024-08-12,2020
WH-A,Printer,,61,Supplier-Z,2024-10-08,2820
WH-A,Mobile,269.0,138,Supplier-C,2026-05-22,1450
WH-D,Keyboard,352.0,226,Supplier-C,2024-09-09,1620
WH-C,SSD,60.0,176,Supplier-B,2025-08-26,7050
WH-D,Mouse,75.0,155,Supplier-A,2026-03-21,1570
WH-C,Keyboard,191.0,176,Supplier-Z,2026-05-17,1600
WH-E,Router,253.0,297,Supplier-Z,2024-09-14,2150
WH-B,Mobile,,300,Supplier-A,2025-01-15,1800
WH-E,SSD,463.0,229,Supplier-C,2026-03-14,7300
WH-A,Mouse,261.0,163,Supplier-Y,2026-06-12,750
WH-E,SSD,138.0,213,Supplier-C,2024-08-29,7300
WH-B,Printer,272.0,291,Supplier-X,2025-04-25,2870
WH-E,Printer,410.0,290,Supplier-Y,2025-08-27,3470
WH-B,Mobile,,268,Supplier-Y,2025-05-29,1650
WH-A,Hard Disk,112.0,176,Supplier-C,2025-06-02,1250
WH-D,Laptop,92.0,199,Supplier-C,2025-08-01,2720
WH-C,Tablet,,212,Supplier-Z,2025-05-12,2400
WH-B,Mouse,471.0,292,Supplier-C,2025-10-03,1050
WH-C,Printer,29.0,55,Supplier-B,2026-01-31,3270
WH-A,Tablet,103.0,243,Supplier-Y,2025-09-17,1700
WH-D,Mobile,459.0,207,Supplier-Y,2025-02-18,2070
WH-A,SSD,69.0,264,Supplier-X,2025-12-06,6400
WH-D,Laptop,169.0,271,Supplier-B,2025-09-16,2620
WH-B,Hard Disk,,68,Supplier-C,2026-04-16,1500
WH-C,SSD,323.0,164,Supplier-B,2025-05-30,7050
WH-B,Tablet,141.0,90,Supplier-Y,2026-02-18,1950
WH-A,Tablet,597.0,176,Supplier-C,2026-05-12,1750
WH-A,Laptop,393.0,251,Supplier-Z,2025-03-25,2100
WH-D,Mobile,348.0,139,Supplier-A,2026-06-01,2220
WH-D,Keyboard,580.0,262,Supplier-Z,2026-01-30,1670
WH-E,Monitor,,223,Supplier-X,2024-11-30,2950
WH-D,Tablet,316.0,296,Supplier-C,2025-06-22,2420
WH-D,Tablet,28.0,94,Supplier-C,2026-01-27,2420
WH-C,Laptop,427.0,200,Supplier-Y,2024-08-29,2600
WH-A,Hard Disk,417.0,283,Supplier-Y,2025-06-29,1200
WH-A,Mobile,,155,Supplier-A,2025-11-07,1550
WH-D,Printer,245.0,241,Supplier-B,2025-11-19,3340
WH-B,Router,124.0,108,Supplier-X,2025-12-22,1450
WH-D,Mouse,300.0,139,Supplier-A,2026-05-06,1570
WH-A,SSD,50.0,201,Supplier-X,2024-09-28,6400
WH-A,Printer,168.0,123,Supplier-B,2025-12-13,2670
WH-C,Router,,99,Supplier-C,2026-02-05,1950
WH-A,Printer,259.0,128,Supplier-C,2024-07-11,2770
WH-C,Laptop,,161,Supplier-C,2024-08-08,2650
WH-C,Mouse,164.0,169,Supplier-X,2024-11-03,1250
WH-D,SSD,85.0,80,Supplier-A,2025-10-04,7320
WH-E,Hard Disk,483.0,233,Supplier-A,2026-03-31,2100
WH-E,Mobile,383.0,246,Supplier-X,2026-03-30,2050
WH-D,Mobile,572.0,296,Supplier-C,2026-06-18,2120
WH-A,Router,340.0,284,Supplier-Z,2025-09-30,1400
WH-D,Hard Disk,569.0,222,Supplier-C,2026-06-21,1920
WH-D,Printer,413.0,197,Supplier-C,2025-02-04,3440
WH-C,Mobile,327.0,188,Supplier-B,2025-07-01,1950
WH-A,Mouse,,217,Supplier-Y,2026-04-11,750
WH-A,Laptop,452.0,137,Supplier-C,2026-05-20,2050
WH-D,Router,584.0,182,Supplier-C,2025-11-17,2020
WH-A,Mobile,,106,Supplier-C,2026-02-07,1450
WH-A,Keyboard,539.0,129,Supplier-B,2026-06-25,850
WH-E,Tablet,493.0,236,Supplier-B,2025-08-31,2400
WH-E,Mouse,366.0,61,Supplier-Y,2025-12-05,1500
WH-D,Laptop,331.0,101,Supplier-Z,2024-11-01,2770
WH-E,Router,591.0,295,Supplier-Y,2025-07-12,2050
WH-D,Router,313.0,64,Supplier-X,2026-06-25,1870
WH-E,Mouse,472.0,243,Supplier-B,2024-10-19,1450
WH-C,Mouse,,93,Supplier-A,2025-10-22,1500
WH-A,Mobile,,218,Supplier-B,2026-02-09,1350
WH-D,Mouse,385.0,231,Supplier-Y,2024-12-24,1420
WH-B,Printer,465.0,102,Supplier-X,2026-03-20,2870
WH-A,Keyboard,177.0,147,Supplier-Y,2024-12-16,900
WH-A,Laptop,569.0,215,Supplier-Z,2025-07-04,2100
WH-D,Tablet,177.0,127,Supplier-C,2025-11-23,2420
WH-C,Monitor,372.0,239,Supplier-C,2025-06-29,2950
WH-C,SSD,251.0,79,Supplier-Z,2026-05-17,7200
WH-A,Mouse,411.0,275,Supplier-Z,2026-06-06,850
WH-E,SSD,153.0,73,Supplier-X,2025-03-21,7150
WH-D,Mobile,,74,Supplier-C,2024-09-28,2120
WH-A,Printer,506.0,226,Supplier-Z,2026-06-02,2820
WH-A,Mouse,461.0,125,Supplier-X,2026-05-03,650
WH-E,SSD,563.0,296,Supplier-Y,2024-12-05,7250
WH-A,Keyboard,,148,Supplier-X,2026-01-13,800
WH-A,Keyboard,203.0,194,Supplier-B,2026-06-30,850
WH-E,Hard Disk,444.0,250,Supplier-B,2025-06-07,1900
WH-C,Printer,,52,Supplier-X,2025-02-21,3220
WH-C,Mobile,468.0,144,Supplier-Y,2025-01-25,2000
WH-B,Hard Disk,,119,Supplier-A,2026-02-07,1600
WH-A,Mouse,189.0,71,Supplier-Z,2025-09-12,850
WH-A,Mouse,300.0,230,Supplier-X,2025-01-21,650
WH-B,Laptop,,221,Supplier-X,2024-12-14,2150
WH-C,Router,472.0,158,Supplier-C,2024-09-03,1950
WH-A,Tablet,452.0,90,Supplier-C,2024-12-31,1750
WH-D,Mouse,,241,Supplier-Z,2025-01-04,1520
WH-D,Router,380.0,93,Supplier-A,2025-01-22,2120
WH-E,Router,466.0,96,Supplier-Z,2025-06-01,2150
WH-E,Monitor,174.0,204,Supplier-Z,2026-01-21,3150
WH-A,Router,,126,Supplier-A,2024-09-07,1450
WH-B,Tablet,266.0,206,Supplier-X,2025-12-14,1850
WH-E,Printer,565.0,294,Supplier-Z,2025-05-15,3570
WH-A,Mouse,60.0,231,Supplier-A,2025-11-25,900
WH-A,Keyboard,156.0,207,Supplier-Z,2025-02-19,1000
WH-E,SSD,162.0,225,Supplier-Y,2024-08-26,7250
WH-C,Printer,440.0,234,Supplier-C,2025-12-09,3370
WH-B,Mobile,478.0,163,Supplier-A,2025-08-08,1800
WH-A,Mobile,547.0,202,Supplier-A,2024-07-28,1550
WH-B,Laptop,214.0,134,Supplier-X,2025-12-13,2150
WH-A,SSD,436.0,71,Supplier-Y,2024-07-28,6500
WH-C,Keyboard,,74,Supplier-Y,2025-08-24,1500
WH-C,Router,,201,Supplier-B,2026-01-09,1850
WH-D,Monitor,,162,Supplier-Z,2024-12-13,3070
WH-E,Mouse,431.0,100,Supplier-Y,2025-09-04,1500
WH-D,Router,504.0,222,Supplier-A,2024-12-31,2120
WH-D,SSD,283.0,291,Supplier-C,2026-06-30,7220
WH-B,Mobile,390.0,249,Supplier-Y,2025-05-16,1650
WH-D,Hard Disk,444.0,236,Supplier-C,2024-11-19,1920
WH-C,SSD,460.0,54,Supplier-Z,2025-05-07,7200
WH-A,Mouse,90.0,159,Supplier-B,2024-12-21,700
WH-A,Tablet,61.0,127,Supplier-C,2026-06-22,1750
WH-E,Router,,243,Supplier-X,2024-12-20,1950
WH-E,Monitor,231.0,215,Supplier-Y,2026-07-04,3050
WH-B,Tablet,360.0,56,Supplier-A,2025-11-04,2100
WH-D,Monitor,418.0,161,Supplier-Z,2024-08-28,3070
WH-E,Router,350.0,286,Supplier-C,2025-10-18,2100
WH-D,Router,162.0,51,Supplier-B,2025-11-11,1920
WH-B,Laptop,242.0,162,Supplier-A,2024-11-25,2400
WH-B,Mobile,497.0,154,Supplier-A,2025-12-31,1800
